"shark_ID","year","size_slow","size_fast","num_detections","num_receivers","n_rec_lagoon","n_inner_lagoon","n_outer_lagoon","n_rec_plat","n_rec_drop","n_rec_coast","min_date","max_date","n_tracking_days","tracking_period","binary_cat","binary_num","sex","sex_num","maturity_slow","mcp_area_100","mcp_area_95","mcp_area_90","mcp_area_80","mcp_area_75","mcp_area_70","mcp_area_60"
60,2013,174.5,177.5,11961,17,16,0,0,0,0,0,2013-01-01 06:47:18,2013-12-31 18:22:30,362,364.483,"resident",0,"f",1,"juvenile","10.2454269965759","4.35676978125774","3.6582208349664","3.36408543863583","3.36408543863583","1.99148962500422","0.8578732705983"
60,2014,187,193,15903,32,26,0,0,0,0,0,2014-01-01 01:38:51,2014-12-31 15:54:01,364,364.594,"resident",0,"f",1,"juvenile","21.0303649557903","4.81634358985748","4.5222081935269","4.5222081935269","4.5222081935269","3.13122822631202","3.13122822631202"
60,2015,199.5,208.5,1783,29,25,0,0,0,0,0,2015-01-01 01:40:34,2015-03-12 20:27:53,70,70.783,"resident",0,"f",1,"juvenile","15.1231216355365","8.49297784409726","4.81634358985748","4.09328201919899","4.09328201919899","3.44988503847378","3.33345949508069"
60,2018,237,255,1,1,0,0,0,1,0,0,2018-02-25 07:11:28,2018-02-25 07:11:28,1,0,"exploratory",1,"f",1,"mature","NA","NA","NA","NA","NA","NA","NA"
61,2012,213,213,1277,12,9,0,0,0,2,0,2012-11-27 20:26:24,2012-12-31 21:33:04,31,34.046,"exploratory",1,"f",1,"juvenile","17.0406778092642","2.56749055523852","2.56749055523852","1.96084605483939","1.64220898506582","1.164256363424","1.164256363424"
61,2013,225.5,228.5,5703,18,13,0,0,0,3,0,2013-01-01 00:33:21,2013-12-31 20:45:50,177,364.842,"exploratory",1,"f",1,"mature","36.0979148280213","16.5195714963589","4.35676978125774","1.83829813066934","1.3971032676562","1.3971032676562","1.08459209667774"
61,2014,238,244,7088,27,23,0,0,0,2,0,2013-12-31 23:36:14,2014-12-27 22:39:02,178,360.96,"exploratory",1,"f",1,"mature","19.9451313453603","19.9451313453603","6.55043180017504","6.40949802504356","4.62634866324689","4.25868595933383","1.58704149856231"
61,2015,250.5,259.5,2440,34,21,0,0,2,2,0,2015-01-02 03:49:12,2015-12-28 09:53:46,134,360.253,"exploratory",1,"f",1,"mature","129.059202021045","41.3929094614659","41.3929094614659","7.54922821796518","7.54922821796518","7.54922821796518","6.25017021994497"
61,2016,263,275,1230,24,13,0,0,1,3,0,2016-01-13 11:18:26,2016-12-25 15:53:33,119,347.191,"exploratory",1,"f",1,"mature","161.082454686276","20.7907180930616","20.4291786999196","19.454880899132","17.4266295729127","13.3579340187676","5.93737505754465"
61,2017,275.5,290.5,708,19,13,0,0,2,2,0,2017-03-23 08:55:57,2017-12-09 11:31:00,72,261.108,"exploratory",1,"f",1,"mature","178.674826122674","19.1048768485428","19.1048768485428","5.68037913185797","5.00633235403431","1.57480676464283","1.57480676464283"
61,2018,288,306,97,5,0,0,0,2,2,0,2018-02-20 16:45:57,2018-12-16 13:43:25,45,298.873,"exploratory",1,"f",1,"mature","NA","NA","NA","NA","NA","NA","NA"
61,2019,300.5,321.5,651,8,8,0,0,0,0,0,2019-06-20 20:58:31,2019-10-20 06:46:42,11,121.408,"resident",0,"f",1,"mature","3.37021932259621","3.0515824654014","1.42774745219313","1.08459952042828","0","0","0"
62,2012,193,193,2246,10,9,0,0,0,0,0,2012-08-30 21:21:46,2012-12-31 14:36:00,121,122.718,"resident",0,"f",1,"juvenile","3.35799318008239","1.58706898676254","0.643408268455707","0.643408268455707","0.312512308584571","0.312512308584571","0"
62,2013,205.5,208.5,9118,16,14,0,0,0,0,0,2012-12-31 23:34:45,2013-12-31 21:46:42,350,364.925,"resident",0,"f",1,"juvenile","7.00394912043315","4.88376749590207","2.89840868328993","1.52580186927683","0.643408268455707","0.643408268455707","0.643408268455707"
62,2014,218,224,14247,38,26,0,0,1,0,0,2014-01-01 00:14:41,2014-12-31 21:21:21,364,364.88,"exploratory",1,"f",1,"juvenile","37.2401751769586","9.34470649134433","7.00393335762655","4.51611597510833","4.51611597510833","4.19746994015008","2.31014244140808"
62,2015,230.5,239.5,2792,34,23,0,0,1,0,0,2014-12-31 23:39:35,2015-12-02 07:37:44,65,335.332,"exploratory",1,"f",1,"mature","2209.18436074769","7.39611894480416","5.19016933691469","4.10557189483842","4.10557189483842","4.10557189483842","4.10557189483842"
62,2016,243,255,5,2,0,0,0,0,1,0,2016-02-04 10:46:29,2016-02-29 07:50:55,2,24.878,"exploratory",1,"f",1,"mature","NA","NA","NA","NA","NA","NA","NA"
62,2017,255.5,270.5,590,10,10,0,0,0,0,0,2017-12-02 03:49:02,2017-12-12 13:21:19,11,10.397,"resident",0,"f",1,"mature","4.70609477920219","3.24157157289965","1.29908020511599","1.29908020511599","1.29908020511599","1.29908020511599","0.312512308584571"
63,2012,241,241,173,23,6,0,0,3,1,0,2012-11-19 06:33:38,2012-12-31 13:39:13,40,42.296,"exploratory",1,"m",0,"mature","54.3962782159475","47.8946015030391","39.3346482571193","32.3735014708962","29.3831771072288","25.0450492952898","25.0450492952898"
63,2013,253.5,256.5,317,15,9,0,0,2,1,0,2013-01-01 05:54:27,2013-01-30 15:33:36,28,29.402,"exploratory",1,"m",0,"mature","31.9381910299417","26.8525241882293","26.6503060823806","17.8085672952683","14.2971421368637","10.0873935367323","0"
66,2012,177,177,4,1,1,0,0,0,0,0,2012-12-01 16:45:33,2012-12-01 16:55:22,1,0.007,"resident",0,"f",1,"juvenile","NA","NA","NA","NA","NA","NA","NA"
66,2013,189.5,192.5,193,7,7,0,0,0,0,0,2013-01-12 19:58:57,2013-12-31 04:25:17,26,352.352,"resident",0,"f",1,"juvenile","2.94125418370406","0.931400636853792","0.441190595298171","0.202211002217636","0","0","0"
66,2014,202,208,2901,20,17,0,0,0,1,0,2014-01-02 03:33:41,2014-12-31 22:43:21,267,363.798,"exploratory",1,"f",1,"juvenile","19.6083569771938","8.08851702647025","3.88491213786007","3.88491213786007","2.00373762004059","1.89343984523894","1.58705831108993"
66,2015,214.5,223.5,4433,30,22,0,0,1,1,0,2014-12-31 23:54:16,2015-12-31 22:12:45,347,364.93,"exploratory",1,"f",1,"juvenile","54.7555700855592","7.61660934289332","3.53564014314351","1.64220561388065","0.557616932630219","0","0"
66,2016,227,239,4621,23,16,0,0,0,2,0,2016-01-01 06:32:40,2016-12-31 19:35:33,267,365.544,"exploratory",1,"f",1,"mature","24.3692958898032","15.4905273174167","5.25135867996986","0.692422289794154","0","0","0"
66,2017,239.5,254.5,211,5,5,0,0,0,0,0,2017-01-01 03:44:58,2017-01-19 23:36:48,18,18.828,"resident",0,"f",1,"mature","NA","NA","NA","NA","NA","NA","NA"
67,2012,189,189,149,1,1,0,0,0,0,0,2012-11-29 16:28:30,2012-12-20 00:08:13,11,20.319,"resident",0,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
68,2012,200,200,28,2,2,0,0,0,0,0,2012-11-29 17:15:09,2012-12-19 02:41:08,3,19.393,"resident",0,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
68,2013,212.5,215.5,5,1,1,0,0,0,0,0,2013-01-14 21:38:38,2013-03-20 06:26:19,3,64.366,"resident",0,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
69,2012,189,189,1371,9,9,0,0,0,0,0,2012-11-30 11:14:34,2012-12-31 17:03:07,32,31.242,"resident",0,"m",0,"juvenile","2.56749055523852","1.37258880916323","0.723061500410855","0.232849060064308","0","0","0"
69,2013,201.5,204.5,8204,25,14,0,0,4,1,0,2012-12-31 23:34:56,2013-12-06 18:04:20,224,339.77,"exploratory",1,"m",0,"juvenile","106.502061146209","2.33462654487757","2.33462654487757","0.526975646402389","0.232849060064308","0.232849060064308","0"
69,2014,214,220,23,7,0,0,0,3,4,0,2014-01-11 11:09:24,2014-12-17 01:16:40,15,339.588,"exploratory",1,"m",0,"juvenile","75.5957833684604","75.5957833684604","75.5957833684604","36.3381169942839","36.3381169942839","22.2133603472138","8.11907311685128"
